tune_id,alias,name
1,Cooleys,Cooley's
1,"Joe Cooley",Cooley's
1,"Joe Cooley's",Cooley's
1,"Joe Cooley's Fancy",Cooley's
1,"Joe Cooleys",Cooley's
1,"Luttrell's Pass",Cooley's
1,"Put The Cake In The Dresser",Cooley's
1,"Put The Cake On The Dresser",Cooley's
1,"Reaping The Rye",Cooley's
1,"Ríl Na Tulaí",Cooley's
1,"Tulla, The",Cooley's
2,"Bucks Of Aranmore, The","Bucks Of Oranmore, The"
2,"Bucks Of Arranmore, The","Bucks Of Oranmore, The"
2,"Bucks Of Bohermore, The","Bucks Of Oranmore, The"
2,"Bucks Of Clare, The","Bucks Of Oranmore, The"
2,"Bucks Of Oran Mor, The","Bucks Of Oranmore, The"
2,"Bucks, The","Bucks Of Oranmore, The"
2,"Hearty Bucks Of Oranmore, The","Bucks Of Oranmore, The"
2,"Hearty Bucks, The","Bucks Of Oranmore, The"
3,Peadar's,"Boil The Breakfast Early"
3,Pedar's,"Boil The Breakfast Early"
4,"Great Eastern","Belfast, The"
4,"Great Western","Belfast, The"
4,"Great Western Clog","Belfast, The"
4,"Great Western Clog, The","Belfast, The"
4,"Great Western Lancashire Clog","Belfast, The"
4,"Great Western Lancashire Clog, The","Belfast, The"
4,"Millicen's Favourite","Belfast, The"
4,Millicent's,"Belfast, The"
4,"Millicent's Favourite","Belfast, The"
4,"Royal Belfast","Belfast, The"
4,"Royal Belfast, The","Belfast, The"
4,"Sailor's Delight","Belfast, The"
4,Sweep's,"Belfast, The"
4,"Sweep's, The","Belfast, The"
4,"Sweeps, The","Belfast, The"
4,"Van Dam's","Belfast, The"
5,"Dean Lloyd's Jig #1","Blarney Pilgrim, The"
5,"Jackson's Rambles","Blarney Pilgrim, The"
5,Killoughery,"Blarney Pilgrim, The"
5,"Killoughery Jig No. 1","Blarney Pilgrim, The"
6,"Anthony Frawley's Favourite","This Is My Love, Do You Like Her?"
6,"Anton A'Bhearnais","This Is My Love, Do You Like Her?"
6,"Art O'Keeffe's","This Is My Love, Do You Like Her?"
6,"Biddy Crowley's Ball","This Is My Love, Do You Like Her?"
6,"Bonnie Wee Charlie","This Is My Love, Do You Like Her?"
6,"Bundle And Go","This Is My Love, Do You Like Her?"
6,"Con Curtin's Frolics","This Is My Love, Do You Like Her?"
6,Cronin's,"This Is My Love, Do You Like Her?"
6,Culcrevie,"This Is My Love, Do You Like Her?"
6,"I Found My Love In The Morning","This Is My Love, Do You Like Her?"
6,"I Lost My Love","This Is My Love, Do You Like Her?"
6,"I Lost My Love And I Care Not","This Is My Love, Do You Like Her?"
6,"I Love You Not And Care For You Not","This Is My Love, Do You Like Her?"
6,"Johnny Mick Dinny's","This Is My Love, Do You Like Her?"
6,"Kiss The Maid Behind The Bar","This Is My Love, Do You Like Her?"
6,"Kiss The Maid Behind The Bier","This Is My Love, Do You Like Her?"
6,"Kiss The Maid Behind The Byre","This Is My Love, Do You Like Her?"
6,McCusker's,"This Is My Love, Do You Like Her?"
6,"Mo Ghrása Ar Maidin","This Is My Love, Do You Like Her?"
6,"My Love In The Morning","This Is My Love, Do You Like Her?"
6,"Old Comrades","This Is My Love, Do You Like Her?"
6,"Patrick Kelly's Favourite","This Is My Love, Do You Like Her?"
6,"Pussycat Up In A Plum Tree","This Is My Love, Do You Like Her?"
6,"Pussycat Up In The Plum Tree","This Is My Love, Do You Like Her?"
6,"Pussycat Up The Plum Tree","This Is My Love, Do You Like Her?"
6,"Pussycats Up In Plum Trees","This Is My Love, Do You Like Her?"
6,"Segmented, The","This Is My Love, Do You Like Her?"
6,"She Never Would Leave Me","This Is My Love, Do You Like Her?"
6,"She Would Never Leave Me","This Is My Love, Do You Like Her?"
6,"This Is My Love Do You Like Her?","This Is My Love, Do You Like Her?"
6,"This Is My Love, Do You Like Her","This Is My Love, Do You Like Her?"
6,"Tony Of The Gap","This Is My Love, Do You Like Her?"
6,"Up To See Grandma","This Is My Love, Do You Like Her?"
7,"Battle Call Of The Fianna","Bonaparte Crossing The Rhine"
7,"Battle Of Waterloo, The","Bonaparte Crossing The Rhine"
7,"Bonaparte Crossing The Alps","Bonaparte Crossing The Rhine"
7,"Bonaparte Crossing The Rockies","Bonaparte Crossing The Rhine"
7,"Bonaparte Crossing The Rocky Mountains","Bonaparte Crossing The Rhine"
7,Bonaparte's,"Bonaparte Crossing The Rhine"
7,Bonnie's,"Bonaparte Crossing The Rhine"
7,Caledonian,"Bonaparte Crossing The Rhine"
7,"Cead Suí Do Mhag Uidhir","Bonaparte Crossing The Rhine"
7,"Fare Thee Well Sweet Killaloe","Bonaparte Crossing The Rhine"
7,"Hot Asphalt","Bonaparte Crossing The Rhine"
7,"Johnny Get Up","Bonaparte Crossing The Rhine"
7,"Let Mr. Maguire Sit Down","Bonaparte Crossing The Rhine"
7,Listowell,"Bonaparte Crossing The Rhine"
7,"Mick Maguire","Bonaparte Crossing The Rhine"
7,"Mr Maguire","Bonaparte Crossing The Rhine"
7,"Mr. Maguire","Bonaparte Crossing The Rhine"
7,"Napolean Crossing The Alps","Bonaparte Crossing The Rhine"
7,"Old Cuckoo, The","Bonaparte Crossing The Rhine"
7,Rohallion,"Bonaparte Crossing The Rhine"
7,"Shermans Maech","Bonaparte Crossing The Rhine"
7,"Star Of Columbia, The","Bonaparte Crossing The Rhine"
7,"Sweet Killaloe","Bonaparte Crossing The Rhine"
8,"Bansee, The","Banshee, The"
8,"Bean An Mullóga Sióg","Banshee, The"
8,"Bean Si, The","Banshee, The"
8,"Bean Sidhe","Banshee, The"
8,"James McMahon's","Banshee, The"
8,"James McMahon's #3","Banshee, The"
8,"Kilcavan Banks","Banshee, The"
8,"Kilcavan Banks, The","Banshee, The"
8,MacMahon's,"Banshee, The"
8,McMahon's,"Banshee, The"
8,"Miss McMahon's","Banshee, The"
8,"Moyasta Junction","Banshee, The"
8,"Moyasta, The","Banshee, The"
8,"Willing Hands","Banshee, The"
9,"Banished Misfortune","Banish Misfortune"
9,"Díbir Anachain","Banish Misfortune"
9,"Díbir Mí-Ádh","Banish Misfortune"
9,"Horse Under The Stairs, The","Banish Misfortune"
9,"Humours Of Mullinafauna, The","Banish Misfortune"
9,"Little Bag Of Meal, The","Banish Misfortune"
9,"Mammy's Horse Is Dying","Banish Misfortune"
9,"Mangled Badger, The","Banish Misfortune"
9,"Ruaig An Mí-ádh","Banish Misfortune"
9,"Stoat That Ate Me Sandals, The","Banish Misfortune"
9,"Whore Amongst The Nettles Roaring, The","Banish Misfortune"
10,"Barney's Goat","Butterfly, The"
10,"Bug, The","Butterfly, The"
10,"Butterfly Gig, The","Butterfly, The"
10,"Eitil Im","Butterfly, The"
10,Fiona,"Butterfly, The"
10,"Im Ag Eitilt","Butterfly, The"
10,"Kick The Peeler","Butterfly, The"
10,"Red Admiral Butterfly, The","Butterfly, The"
10,"Red Monarch Butterfly, The","Butterfly, The"
11,"Boys Of Mallin, The","Boys Of Malin, The"
11,"Boys Of Mallow, The","Boys Of Malin, The"
11,"Karen Logan's","Boys Of Malin, The"
12,"Cliffs Of Mohir, The","Cliffs Of Moher, The"
13,"Chief O'Neil's","Chief O'Neill's Favourite"
13,"Chief O'Neil's Favourite","Chief O'Neill's Favourite"
13,"Chief O'Neill's","Chief O'Neill's Favourite"
13,"Chief O'Neill's Fancy","Chief O'Neill's Favourite"
13,"Chief O'Neill's Favorite","Chief O'Neill's Favourite"
13,"Flowers Of Ardigne","Chief O'Neill's Favourite"
13,"Francis O'Neill's Favourite","Chief O'Neill's Favourite"
13,O'Neill's,"Chief O'Neill's Favourite"
13,"True Lovers', The","Chief O'Neill's Favourite"
